	African	CelticEnglish	EastAsian	European	Hispanic	Israel	Muslim	SouthAsian
Michael Waterman	0.002903686	0.9678229	0.0047289846	0.019799294	0.0010424602	0.00019036626	0.0018882359	0.0016240637
Temple Smith	0.0025687611	0.9595877	0.0045124628	0.0024177476	0.0047326977	9.5790885e-05	0.0045405026	0.021544345
Janet Thornton	0.00017622087	0.99392337	0.00059045944	0.0017502102	0.0004149117	8.093213e-06	0.00066712056	0.0024696318
David Sankoff	0.00053863827	0.97890717	0.00056860835	0.007989188	0.008133513	0.0004931757	0.0021992447	0.0011704108
David Lipman	0.0015464604	0.7908961	0.0011184567	0.17258692	0.0051410925	0.026198579	0.0021152047	0.00039715442
David Haussler	9.9585275e-05	0.42113218	0.0025708056	0.5524033	0.015727805	0.00767083	0.0001551493	0.00024037455
Alfonso Valencia	0.0017455489	0.1578645	0.0018931243	0.08316528	0.75285953	0.000107375614	0.00043326983	0.0019314225
Gary Stormo	0.0009811807	0.94539785	0.025059747	0.017883152	0.007639589	5.6303128e-05	0.0013086714	0.0016735074
Chris Sander	0.002736099	0.88493186	0.0037382585	0.096318185	0.003187201	0.0006183227	0.0028448068	0.0056252424
Lawrence Hunter	0.013019114	0.95993817	0.008064309	0.007769962	0.003242352	1.9657682e-05	0.0037149703	0.0042313556
Russ Altman	0.0016771497	0.97301537	0.0014762676	0.010466254	0.003516201	0.00082131807	0.00528852	0.0037388916
Richard Durbin	7.942276e-05	0.8968557	0.0005300949	0.10093399	0.0007125826	2.8096209e-05	0.00041219316	0.00044794823
Philip Bourne	0.0018788592	0.9862613	0.00017233193	0.010587888	0.00030962177	0.000134343	0.0004550468	0.00020061557
Soren Brunak	0.00222658	0.18936387	0.010309573	0.7416394	0.03141579	0.0015088052	0.0055944994	0.017941426
Julio Collado-Vides	0.0016384904	0.039117206	0.00022427064	0.9197188	0.038953133	9.938215e-05	0.00014825632	0.0001005663
Michael Ashburner	0.00042142574	0.98558784	0.0019394616	0.0037693572	0.0011510282	0.00049708487	0.0013214973	0.0053122197
Martin Vingron	0.0009043635	0.32416755	0.0017887147	0.63637453	0.02831642	0.0006997506	0.0013203445	0.006428197
Gunnar von Heijne	5.2577718e-05	0.08487763	0.0019652257	0.91094023	0.00023962292	5.0290295e-05	0.0018314413	4.300236e-05
Ron Shamir	0.0011668808	0.0849124	0.009372383	0.035962716	0.0026766167	0.8418683	0.021253122	0.0027874843
Pavel Pevzner	0.00031211015	0.047591828	0.00086537545	0.93993515	0.0011961301	0.00014607953	0.008907048	0.0010463247
Jill Mesirov	0.00012640133	0.4342188	0.0006189178	0.2753968	0.0142663475	0.007743038	0.26739538	0.00023424054
Peter Karp	0.021208636	0.83054894	0.0009926296	0.13562845	0.004029512	0.0005126937	0.0055279993	0.0015512435
Bonnie Berger	0.0033065474	0.87474906	0.0049131927	0.096418284	0.008935933	0.0044396734	0.0036953732	0.003541955
Steven Salzberg	5.4015596e-05	0.9586587	0.0029281091	0.02258875	0.0052167065	0.008351544	0.0013884238	0.00081368716
Eugene W Myers	0.001140847	0.9873778	0.0024196676	0.0027417992	0.0011831895	4.3517288e-05	0.0005454396	0.004547598
Ruth Nussinov	0.0007016947	0.08610653	0.0022215692	0.6528615	0.0045739077	0.21484981	0.03797599	0.00070897286
Webb Miller	7.276062e-05	0.99647176	0.00042315366	0.00047571564	0.00045199535	5.2800488e-06	0.00036124952	0.0017381087
Satoru Miyano	0.0001828721	0.0067170104	0.9901338	0.002420508	0.00029268983	1.31884935e-05	4.825011e-05	0.00019158123
Minoru Kanehisa	0.0035359012	0.0015799388	0.99364567	0.0006188779	0.00027447578	2.3876348e-05	0.00012179811	0.00019948685
David Eisenberg	0.000264989	0.7359856	0.0023536447	0.12757626	0.0044368277	0.12753327	0.0013193984	0.0005300963
Pierre Baldi	0.0020831316	0.016906153	0.0006186099	0.9760133	0.0030652336	6.536889e-05	0.0011222798	0.00012585963
Andrej Sali	7.701037e-06	0.0012820604	0.0010551036	0.98072666	0.00068373483	0.0004096279	0.015737627	9.745944e-05
Nir Friedman	6.622403e-05	0.030422134	0.00036547144	0.0041164793	0.0006116098	0.9640973	0.0002015235	0.0001192857
Robert Gentleman	0.0074789687	0.8968179	0.0017051649	0.08721477	0.002599229	0.00039989298	0.0011306192	0.0026534698
Ewan Birney	0.00019286347	0.99077296	0.0016910254	0.0031690735	0.00065349956	7.647474e-05	0.0010664329	0.0023777108
Amos Bairoch	0.0045553306	0.058413364	0.0006044338	0.007378288	0.0038478787	0.9239552	0.0007004591	0.0005450277
Burkhard Rost	5.8931124e-05	0.08829245	0.00042476383	0.9098674	0.00039397783	7.810389e-05	0.0008152207	6.90691e-05
Michael Levitt	0.00021172044	0.9799453	0.00084964803	0.009397879	0.0006250374	0.0066012894	0.00088316185	0.0014860339
Desmond Higgins	0.0011523262	0.9885642	0.0010288497	0.002927223	0.002208562	2.795438e-06	0.00034349738	0.0037724078
Thomas Lengauer	0.0016552934	0.07306076	0.0005587182	0.9239091	0.00043395453	2.3955476e-05	0.00010280944	0.00025529246
Mark Gerstein	0.002500424	0.8232037	0.0033189582	0.07680434	0.0066207047	0.07152421	0.0062851897	0.009742476
Cyrus Chothia	0.04397588	0.09356453	0.82310766	0.017105537	0.0036823358	0.00026258331	0.00413514	0.014166294
Rolf Apweiler	0.0003100794	0.010096914	0.00022781505	0.98867375	0.00034507408	9.418815e-05	0.00022118149	3.0987292e-05
Shoshana Wodak	0.00046472062	0.04492013	0.011003483	0.010179864	0.000547972	0.9238025	0.0049457788	0.0041356436
Haim Wolfson	0.00093590067	0.35854474	0.002000349	0.045106005	0.006824952	0.5801845	0.006049303	0.00035427106
Lincoln Stein	0.0020952595	0.9647178	0.0026261723	0.0049857004	0.0038699363	0.001640232	0.0023273078	0.017737733
Sarah Teichmann	0.0007504652	0.20379946	0.0017867106	0.78499603	0.0050865705	0.002523143	0.00092185626	0.00013578111
Anna Tramontano	0.00014855791	0.1400714	0.0005035206	0.83760273	0.020724272	0.0003751466	0.0005411604	3.325385e-05
Aviv Regev	3.9658664e-07	0.00017978577	2.0586785e-06	0.00038537732	8.719986e-07	0.9993636	3.8333656e-05	2.95738e-05
Christine Orengo	0.1513862	0.1405376	0.001987886	0.6592848	0.044241745	0.00036378775	0.00060951716	0.0015884868
Michal Linial	0.0016568248	0.11057448	0.027004648	0.82002	0.02575942	0.0044390718	0.0024577922	0.008087809
Barry Honig	7.429629e-05	0.9887631	0.0010070178	0.00880039	0.00018411214	0.00015144306	0.000109757886	0.0009098749
Janet Kelso	0.0050614933	0.9445854	0.00492079	0.029877631	0.011300177	0.00022800801	0.0014181202	0.00260829
Dan Gusfield	7.7527446e-05	0.9945233	0.0008591984	0.00365917	0.0003384132	2.6396458e-05	0.0003566919	0.00015925054
Helen Berman	0.006186976	0.5336707	0.005548334	0.42239803	0.012211155	0.012967327	0.005618942	0.0013985505
Steven Brenner	0.00080336025	0.9634557	0.0025056694	0.02610429	0.0035075098	0.00060701946	0.0012173024	0.0017992349
Tandy Warnow	0.0019260193	0.9797434	0.0070881397	0.008409359	0.001073792	6.846935e-05	0.0005699569	0.0011209943
Olga Troyanskaya	0.00017359722	0.008323358	0.0009031233	0.9697692	0.010842669	0.00083660573	0.009048955	0.00010252203
William Noble	0.0011426652	0.95207304	0.0016917438	0.0057393177	0.01189989	0.00034154858	0.024247617	0.0028642383
Lior Pachter	0.0036709565	0.021446077	0.0019424517	0.018623315	0.0030669929	0.94997877	0.0006825788	0.00058884657
Anders Krogh	8.478098e-05	0.12207006	0.00052065216	0.87304294	0.0008762994	0.0021106391	0.0012804837	1.4035278e-05
Andrea Califano	0.0021094151	0.1669278	0.011185751	0.77799976	0.04049495	0.0001558345	0.0010648918	6.155071e-05
Alex Bateman	0.001554233	0.98561054	0.00026853263	0.009604953	0.0018514119	0.0004096003	0.00027148667	0.00042929652
Mike Steel	0.004790145	0.97053325	0.004583484	0.010292609	0.0027853616	3.3825527e-05	0.000988341	0.0059930487
Mona Singh	0.0061168983	0.12135091	0.021317113	0.035795525	0.0047164117	0.0006673632	0.0067920503	0.80324376
Bernard Moret	0.006056484	0.1303297	0.0028106475	0.8461196	0.012322689	0.0011439265	0.00075110374	0.00046589994
William Pearson	0.0012348195	0.9779846	0.001648529	0.00722539	0.0036308283	0.00015804346	0.0025443344	0.005573408
Hanah Margalit	0.0021799621	0.07198772	0.008825092	0.020072373	0.00410519	0.8626581	0.02666775	0.0035037666
Yves Moreau	0.00026917015	0.50724405	0.00079112715	0.48588547	0.0048367437	3.7467446e-05	0.00062331266	0.00031261396
Terry Gaasterland	0.0012258565	0.9590542	0.0021676659	0.030423908	0.0026762774	9.485481e-05	0.00051374355	0.0038434213
Patricia Babbit	0.0021506576	0.96000314	0.0019549679	0.029806674	0.0024015796	0.00078627473	0.001693435	0.0012032464
Vineet Bafna	0.0031923323	0.091744155	0.0053485297	0.025299078	0.00029304018	0.2523283	0.0054523223	0.61634225
Eleazar Eskin	0.021028083	0.64955103	0.0051979693	0.12682745	0.12686244	0.008522657	0.05196175	0.010048601
Shirley Liu	0.0004352142	0.46272027	0.5324589	0.002749453	0.0010597917	0.00014034737	0.00013694205	0.00029913272
Marie-France Sagot	0.020436967	0.017188033	0.00012253295	0.9610974	0.00061324	0.00023016597	0.0002283134	8.334223e-05
Serafim Batzoglou	8.1223516e-07	0.00091922085	8.340529e-06	0.9920814	0.000121384364	0.0019240795	0.004943837	8.274687e-07
Judith Blake	0.0015842619	0.980474	0.0024152643	0.008783302	0.0044935755	0.00023592233	0.00036418968	0.0016495342
Mark Borodovsky	0.0001327358	0.7966181	0.0016041815	0.052133176	0.0051959273	0.1345707	0.008798933	0.00094614766
Rita Casadio	0.0012610762	0.11804215	0.004951535	0.2696861	0.6046243	3.9269653e-05	0.00034093834	0.0010547041
Paul Flicek	0.000100335674	0.8931917	0.0014106645	0.10483816	9.0804155e-05	9.643406e-06	7.455042e-05	0.00028410213
Osamu Gotoh	0.00071384717	5.477799e-05	0.9991072	0.00011210745	1.4979461e-06	1.8859748e-07	1.0209908e-05	8.8441254e-08
Rafael Irizarry	0.0046729757	0.29850298	0.0056787077	0.038754426	0.63880295	0.007070991	0.003118502	0.0033985665
Laxmi Parida	1.6120146e-05	0.0033895152	0.00010008897	0.00012453317	0.00293934	2.7296988e-07	4.0306728e-05	0.9933897
Katherine S. Pollard	0.0016812194	0.9526343	0.004444502	0.025967184	0.0060201874	0.00016886964	0.0018019563	0.0072817113
Ben Raphael	0.030442832	0.5795206	0.031096281	0.110907875	0.007838116	0.23749685	0.0022390608	0.00045841158
Zhiping Weng	0.00010786162	0.022453703	0.9747814	0.002471346	0.00010101266	5.1902007e-06	8.587754e-06	7.089865e-05
Xuegong Zhang	7.94717e-06	0.01717211	0.9821278	0.0005553137	3.242731e-05	1.8844031e-07	1.5406879e-06	0.000102674625
Leroy Hood	0.0021944905	0.8274879	0.0025801994	0.1306829	0.009462085	0.0005911615	0.0063455314	0.020655733
Harold Morowitz	0.0029134394	0.81664795	0.0016689487	0.1556893	0.004825746	0.015396816	0.0020919237	0.0007657783
Bruce Buchanan	0.00065589574	0.98782957	0.003917078	0.0019563194	0.0017780473	5.283982e-05	0.0006122028	0.0031981433
Richard Roberts	0.0032776347	0.9706552	0.0053126477	0.014446604	0.0016292499	5.516693e-05	0.0013797192	0.0032437693
John Sulton	0.0034135364	0.97378707	0.0027995682	0.00772595	0.0025571072	8.0936836e-05	0.0039770217	0.005658795
Doug Brutlag	2.5291756e-05	0.9975382	0.00030758468	0.0007856432	0.00031504224	2.5409142e-06	0.00019669431	0.00082893966
Russell Doolittle	0.00011902909	0.99069726	0.0011195391	0.0019082215	0.0005450768	4.8223774e-05	0.00021046592	0.0053522754
Robert Waterston	0.001402501	0.9843485	0.0008989627	0.0106599275	0.00050972274	1.3463874e-05	0.0008806778	0.0012862778
Fotis C. Kafatos	0.0053188335	0.032864135	0.0005928342	0.9486899	0.009602495	0.00035848876	0.0024760624	9.7281874e-05
Richard Lathrop	0.098060206	0.817087	0.024919514	0.041745555	0.0027945223	0.00010423725	0.0054266355	0.009862409
Marcie McClure	0.00074835133	0.95912194	9.123108e-05	0.005422712	0.03377186	6.6050648e-06	0.00064914825	0.00018805558
Hans V. Westerhoff	0.0027408265	0.021194847	0.0012446658	0.970273	0.0028427525	0.00034980042	0.0007678474	0.00058617606
Robert Cedergren	9.575872e-05	0.26073578	0.0009237719	0.7343827	0.0026513473	0.00042423132	0.00040997466	0.00037643316
Manfred Eigen	3.698811e-05	0.0144767575	0.00032791894	0.98018986	0.004792162	2.6640088e-05	9.377839e-05	5.5846864e-05
Richard M. Karp	0.01457789	0.93652135	0.0017012045	0.03203619	0.0036603766	0.00055283715	0.007713763	0.0032363706
Anthony R. Kerlavage	0.0001995181	0.9865106	0.0014950129	0.0068759546	0.00017340221	9.108411e-05	0.00011719661	0.0045372187
Eugene V. Koonin	0.00076409953	0.53952265	0.009013737	0.43271658	0.013325762	0.0028622749	0.0007979146	0.0009970352
Robert J. Lipshutz	3.9557926e-05	0.7699591	0.00044710055	0.2286457	0.00041585244	0.00025210375	8.883463e-05	0.00015174519
Matthias Mann	8.480761e-05	0.0038127212	0.00020843848	0.99372804	0.0016898974	4.128678e-05	0.00038479752	5.004341e-05
Michael J. E. Sternberg	0.00013971224	0.96258557	0.0037070422	0.025627071	0.0027000033	0.0015038162	0.0007250779	0.0030116893
Gerald M. Edelman	0.0018319101	0.8221186	0.0039412025	0.10003741	0.014246883	0.04742975	0.0036656358	0.0067286217
J. Andrew McCammon	0.009430757	0.9572476	0.0031212007	0.010715942	0.0049688183	0.0005461084	0.008856779	0.0051128063
Eugene Myers	0.0069170357	0.97018415	0.0027786142	0.013372851	0.0024098956	0.0006632487	0.0011207297	0.0025533598
David B. Searls	0.007452396	0.9422122	0.004463264	0.04024148	0.0043477565	0.0005717343	0.00017467352	0.00053641
Harold A. Scheraga	0.0028433788	0.85138214	0.00419335	0.05454104	0.0809502	0.00088561693	0.00018333065	0.0050209607
Christopher M. Dobson	0.0017713065	0.984063	0.00091608	0.002833258	0.0012486057	7.7818026e-05	0.0013320282	0.0077578686
Gunnar von Jeijne	7.4888325e-05	0.04154661	0.00068347045	0.9525765	0.00029533074	2.6415915e-05	0.004762258	3.4360153e-05
Sean Eddy	0.004769602	0.9732559	0.0024934863	0.013815127	0.002152536	0.001004806	0.0006651852	0.0018433225
Bernardo Huberman	0.00062646664	0.16643932	0.0030333495	0.38129863	0.4448875	0.0014883869	0.0012875627	0.0009389077
Chris Burge	0.026095465	0.9142309	0.0026544274	0.044193435	0.004036438	8.0920225e-05	0.0024180517	0.006290398
Stephen Altschul	0.00025734396	0.82200325	0.0028949734	0.027219344	0.001225228	0.13803495	0.005036019	0.0033288733
Ford Doolittle	0.00015833156	0.99134773	0.0013884206	0.0041659074	0.00032133234	2.533428e-05	0.0001721171	0.002420862
David Baker	0.0046996335	0.94879365	0.0038691878	0.024099296	0.0040936354	0.008469976	0.0035835176	0.0023911053
John Reinitz	0.0013200679	0.8159689	0.0035385927	0.16468486	0.005789375	0.0050084544	0.001981587	0.0017081848
Isidore Rigoutsos	0.0009945369	0.03224903	0.00020913912	0.9579618	0.008508939	2.0292458e-05	4.9970622e-05	6.2564363e-06
Sydney Brenner	0.006348539	0.96285945	0.0040170616	0.010510463	0.006068631	0.0003201549	0.0038423133	0.006033381
Yoshihide Hayashizaki	0.00019582245	0.0047527147	0.99219924	0.0010464741	0.00017268865	1.3321831e-05	0.0015763622	4.338311e-05
W. James Kent	0.002234973	0.99007696	0.0016345487	0.0029844844	0.00071492157	7.361156e-05	0.00031715195	0.001963255
John Mattick	0.003657897	0.97501796	0.0036130873	0.0052752947	0.0017352506	2.8105187e-05	0.002451266	0.008221107
Uri Alon	4.410711e-05	0.005359592	0.00011126832	0.00083024247	0.00020845169	0.9932822	5.0565966e-05	0.00011342318
Eric Green	0.0031324457	0.9713064	0.0027893928	0.018194178	0.0026966105	0.00013407491	0.00034777678	0.0013990933
Denis Noble	0.0019033984	0.36810338	0.0014403976	0.57622117	0.014609947	0.00026120478	0.036103293	0.00135718
Svante Paabo	0.0024417732	0.004597267	0.002169612	0.98527366	0.0032861938	0.00012560865	0.002098395	7.3430037e-06
Howard Cash	0.0012511107	0.97689223	0.0077280737	0.0040226346	0.0030286585	0.00016574272	0.0016377325	0.005273842
Peter J Hunter	0.00064323144	0.98668295	0.001147863	0.008272503	0.0008617289	1.0081022e-05	0.00090494467	0.001476588
Robert Huber	0.00026611733	0.4760454	0.0007653154	0.5139322	0.0028843118	0.002856952	0.0027993885	0.000450324
Tom Blundell	0.0006867544	0.9011137	0.001966064	0.08789023	0.00596317	0.0012367346	0.0005221511	0.000621173
Kurt Wuthrich	0.0005790307	0.53951454	0.029804043	0.4210576	0.0037469396	0.00037899285	0.002869376	0.0020494717
Mathieu Blanchette	0.003424614	0.09048779	0.00183309	0.89911413	0.003244014	0.000115847775	0.0004879337	0.0012926237
Elana Conti	0.0070453095	0.43553925	0.020389838	0.2659442	0.23839936	0.025537718	0.0051481435	0.0019961377
Charles DeLisi	0.024224443	0.8646417	0.0011370161	0.094063096	0.00708925	0.0004498762	0.00068356073	0.0077109775
Eran Segal	9.4896444e-05	0.011132648	0.0001515595	0.0021148138	0.00058203406	0.98524183	0.00016419153	0.00051809184
Stephen Burley	0.0025412664	0.9750473	0.0040256926	0.008133135	0.0038123564	6.590695e-05	0.0013373857	0.005036936
Michael Eisen	0.00275599	0.5103048	0.0018968234	0.4607211	0.0012792537	0.019480467	0.0024763115	0.0010852672
Anne-Claude Gavin	0.0017848666	0.14736794	0.0012540768	0.8431294	0.0035547477	0.00029739647	0.002233082	0.00037853068
Erin O'Shea	2.955006e-05	0.9980806	0.00033872202	0.00058966945	0.00070840446	4.094163e-06	0.00013691449	0.00011203157
Renee Schroeder	0.00012859287	0.974879	0.00929749	0.009667455	0.00032549776	2.3196757e-05	0.00018960748	0.0054889945
Terry Speed	0.0002150297	0.9809652	0.0048759915	0.0011003752	0.0005336643	7.711904e-05	0.0035922837	0.008640342
Claire M. Fraser-Liggett	0.0006683738	0.9946161	0.00074984535	0.0014553491	0.0002503991	1.7560385e-05	0.0012037919	0.0010386413
David Jaffe	0.001269813	0.9554839	0.0006754315	0.025282847	0.007078154	0.0011837957	0.0033633593	0.005662612
Morag Park	0.0038284957	0.16947293	0.31971613	0.2506067	0.058987953	0.013292367	0.04322705	0.14086841
Bernhard O. Palsson	0.0002048517	0.005991745	7.387036e-05	0.9934649	0.0001750309	5.6178606e-06	1.9706702e-05	6.4259424e-05
Trey Ideker	0.0022400839	0.9755406	0.0038253025	0.014020581	0.0008156319	0.00012739643	0.0007621404	0.0026683097
Pierre-Henri Gouyon	0.006104731	0.0073546683	0.0005791814	0.98400766	0.00063409004	2.3323199e-05	0.0012881036	8.249553e-06
Daphne Koller	0.0010855298	0.2345657	0.0037481955	0.38544843	0.0037159228	0.36857945	0.0011571737	0.0016996339
Eugenia Maria del Pino Veintimilla	0.0009651845	0.02666787	0.0005687904	0.08957263	0.8802587	2.3432753e-05	0.0018338984	0.000109471825
Thomaso Poggio	0.0009584742	0.04931112	0.00023813029	0.9372392	0.010620822	8.88474e-06	0.00011165222	0.0015116835
Mathias Uhlen	3.16403e-06	7.165177e-05	8.029276e-06	0.9997024	0.00018615424	3.2087298e-06	2.501626e-05	3.2397443e-07
Susan Lindquist	0.0004732135	0.5892662	0.0008764119	0.40760085	0.00077679125	1.5188736e-05	0.00037536098	0.0006159202
David Altshuler	0.00043286223	0.22374763	0.0013762672	0.011926849	0.0034162863	0.7559605	0.0013727942	0.0017667871
George Church	0.010629716	0.7630647	0.0055887406	0.20147918	0.006440342	0.00037105812	0.0068386714	0.0055876537
Robert Weinberg	0.00046793497	0.5738965	0.0061522713	0.3977823	0.00225707	0.018055944	0.0011151675	0.0002727468
Luis Serrano	0.00017262108	0.10834359	0.00051720307	0.076437764	0.8138754	6.0472732e-05	0.00038230568	0.00021071901
Ziv Bar-Joseph	0.046897124	0.3575064	0.0058934474	0.0334866	0.0088622365	0.5072791	0.011400159	0.028674863
Barbara Wold	0.004789318	0.5133457	0.005394747	0.46188194	0.005128133	0.0021757819	0.0065342085	0.0007501255
Goncalo Abecasis	0.0006114761	0.05995273	0.0028068423	0.02933435	0.90530413	0.0005311355	0.00071755797	0.0007417527
Gil Ast	0.0038608923	0.69108045	0.025987698	0.25216028	0.0047376743	0.013482603	0.006905896	0.0017845443
Carole Goble	0.06874356	0.43862987	0.003238405	0.45204884	0.020121848	0.00028309878	0.012201646	0.004732737
